Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Reason_complaint,,
 09/17/17,tim mcc ,2017 Genesis G90 Sedan Premium 4dr Sedan AWD (3.3L 6cyl Turbo 8A),dealership/repairs," my g90 has less than 200 miles in shop for two weeks not a good start, paramus hyundai terrible",1,"Service Quality, Vehicle Reliability",,
 08/21/17,Richard N ,2017 Genesis G90 Sedan Ultimate 4dr Sedan (5.0L 8cyl 8A),My car is getting lots of respect from Mercedes ow," Somehow, the G90 looks perfect to my country club friends.  And those who rode in my Flying Spur, think(know) the G90 has the best back seat available.  My wife doesn't like all of the bells and whistles on our(her) G90 and has gone back to driving her S550.  So, you guessed it, it's now my car :-)",4,Car features,,
 08/03/17,Rick ,2017 Genesis G90 Sedan Premium 4dr Sedan AWD (3.3L 6cyl Turbo 8A),Traded my Lexus LS for a Genesis G90!," I've owned Lexus cars exclusively for the past 5 years, and had thought that I was a Lexus owner for life.  Over time, though, I have grown somewhat disillusioned by the direction Lexus has been heading, with much more edgy, showy, trendy styling and a significant decrease in the whole service/dealership/ownership experience.  I am an ""old-school"" Lexus lover -- the Lexus that is highly refined, elegant, understated, and rock-solid reliable.   The new Lexus has been designed to appeal to a younger audience, which is fine, but I wonder how many young people can afford a Lexus LS at $70+K...  So when it was time to give up my 2008 Lexus LS600hL, I decided to test drive the new Genesis G90.  All I can say was I WAS BLOWN AWAY!  Here was the ""old Lexus"" that I had been seeking!   The exterior styling was conservative but very classy (looks like it will age very well), and the interior styling was AMAZING!  From the super-soft and thick Nappa leather surfaces on everything I touch to the solid and well-designed switches (and they are everywhere!), I felt coddled by this car!  The safety amenities were comprehensive and all standard (radar cruise, heads-up display, blind-spot monitoring, pedestrian detection, surround-view camera, etc.).  The dealership experience was definitely sub-par, though, as I had to fight my way through the crowds lining up to lease Elantras for $99 per month, and the overall experience was no where near that of my Lexus dealer.  But what a car, and what a price!   And dedicated Genesis locations are being designed as we speak, and will significantly enhance the overall experience.  On the plus side, my salesman did everything he could to keep me from having to even come to the dealership.  He personally delivered my car to me along with the paperwork to sign.  For the next 3 years, he will bring me a G90 loaner any time I need service on my car, and will see that everything is done and my car delivered back to me at zero cost!  I chose to lease this car, as I was concerned with the high depreciation hit potential, but the lease price was very reasonable for a $71K car, and I will probably just get another new Genesis when this lease is up.  If you currently drive a Lexus LS, BMW 7-series, Mercedes S, or Audi A8, you owe it to yourself to take the G90 for a test drive.   This car will make a splash once it becomes more widely understood!",1,"Brand Loyalty Shift, Interior Features & Comfort, Customer Service, Dealership ",,
 08/04/18,tim m ,2018 Genesis G90 Sedan Ultimate 4dr Sedan AWD (5.0L 8cyl 8A),avoid like the plague," bought first one owned for 10 weeks in the shop for 8 weeks ,they swapped out car for ok forgive and forget ,second car filling up with water,all 4 tires had bubbles within 60 days,car left me stranded and locked out no entry stuck outside , electronic problems,brought engineers in to fix car ,in the shop for 3 months ,they gave me a loaner ,dirty and smelled ,car came back from repairs once with greasy hand prints all over white interior ,hyudai is not capable of dealing with high end cars ,did get my money back 6 months later through a buy back",1,"Vehicle Reliability, Service Quality",,
 07/02/18,Joe Margucci ,2018 Genesis G90 Sedan Premium 4dr Sedan (3.3L 6cyl Turbo 8A),"""Acceleration failure"" - Genesis phraseology"," My 2018 G90 has an acceleration problems which the dealer and ""engineers"" at Genesis  acknowledge but will not  help with or repair.  Upon abrupt acceleration, like making a left turn in traffic, the car hesitates for three  terrifying  seconds before it lurches forward.  In addition when attempting to accelerate from a stop it is very hesitant to move forward when called upon.  I find this highly unsafe and infuriating.  The dealer told me quote "" WE were able to locate (on computer) the  acceleration failure you experienced.""  ""This is simply how  the car operates, new tech knowledge, ya know ?""  ""You are going to have to get accustomed to this idiosyncrasy of the car.""  The people at Genesis Customer Care, after 5 days of research, claim that their ""Engineers"" are aware "" of the hesitation problem"" and that is the way the car operates.  I was very unhappy and hired an attorney and am proceeding  on my journey> I want the car to go when I want it to.  Fair request?",3,"Safety Concerns, Vehicle Performance, Customer Service ",,
 06/02/18,Randy Terry ,2018 Genesis G90 Sedan Ultimate 4dr Sedan (5.0L 8cyl 8A),Nearest Thing To A Cruise Ship?," I found the conservative exterior design to be a little too conservative. If so, the interior made up for that very quickly. Rather than describe the interior as conservative, I would describe it as classic, and I mean that in the best possible use of the term. It was so opulent (in some ways) that I wondered during the test drive if it was a little TOO opulent. I am a gay man who loves fine dark wood antique furniture, so that is saying something. I haven't purchased one yet. I am not a fan of white nor the steel grey versions that the showroom had. I think the somewhat conservative exterior design would look better in black or a richer color. The lines of the car are really nice, even if unassuming. I drove the V8 top of the line, and the rear seating area was almost of limousine proportions where one could control most of the car from the back. I found myself thinking that this much effort on the rear compartment was a bit of a waste for a single man! But the V8 and rear wheel drive were a really nice combination. There was nothing mechanically I would be unhappy with. In a car like this. if you drive it the way this kind of car is meant to be used, I think most people would be very pleased with it. Without being as nit-picky as professional car reviewers are, I thought the fit and finish was very well carried off, and nothing in the interior switch gear, etc, stuck out as being cheap or substandard. My favorite thing about it all is that this really wonderful car has been brought to fruition by a company I wouldn't have sneezed at 20 years ago. I would be proud to drive a Genesis just because I like the idea of driving a wonderful car that IS NOT what everyone else out there is hankering for. It is quite a bit nicer than the first of the Lexus vehicles Toyota came out with.",4,"Exterior Design, Interior Features & Comfort, Driving Performance",,
 01/24/18,Robert Mojica ,2018 Genesis G90 Sedan Ultimate 4dr Sedan AWD (5.0L 8cyl 8A),2018 G-90 3.3T & 5.0 AWD," For the amount of money that is being asked for this car, I was not impressed at all..   First of all,  this car is a Hyundai , even though Genesis is trying to distance itself and separate from Hyundai, it may not happen for quite some time and, in my opinion, the depreciation on a new car in the luxury market without it's own branding will depreciate tremendously.  e.g.... To purchase this car, if you took out a loan  for $70,000.00 for 5 years, within in  3 years, you would owe more on the loan than what the car is worth.  The car is way overpriced.  Another strike against it is that the front end looks like a Chrysler 300.  Who in their right mind is going to pay $70,000 for a luxury car that looks like the Chrysler 300?  I currently own an Acura RL 2000 and the Bose audio in my car is way superior to the Genesis G-90 in my opinion.   I think you're on the right track. Genesis is a solid and comfortable car... has some good new features but you've priced it out of the market .... in my humble opinion...",3,"Pricing Concerns, Brand Perception, Depreciation Concerns, Exterior Design, Technology Quality",,
 05/24/18,Charlie Brown ,2017 Genesis G80 Sedan 5.0 Ultimate 4dr Sedan (5.0L 8cyl 8A),Electronic Warefare," The electronics have some gremlins at work all the time. Passenger window, Nav. Screen started acting up on a vacation trip. the window only was able to move to the closed position in 2 inch increments by continuous activation of the window switch. The Nav. Screen went blank and stayed blank until I started the car the next day (reset??). The window also started working again after the overnight quiet time. When a music is playing from the USB using the MEDIA button, randomly the system switches to the factory installed video/music. The video does not play (for safety reasons) but the Korean music does. There is some electronic warfare going on between all the integration.",4,"Electronic Reliability, System Integration, User Experience ",,
 02/06/18,Allen C ,2017 Genesis G80 Sedan 5.0 Ultimate 4dr Sedan (5.0L 8cyl 8A),"Watch what is covered by the warranty. GOT ya""s"," dealer service every 3000 miles,change oil,check tires etc. Last service was told tires need replacing. Car only has 19,300 miles. They say tire warranty is with tire company Continnental. They now tell me normal tire wear is around 20,000 miles before replacement will be needed. So my wife puts around 20,000 per year to work and vacations. So I guess this means a new set of $1200.00 tires every 10 months. I have bought several new cars all have got at least 40,000 miles on the tires. I have called Genisis customer care and they wont even return my calls, I have sent at least 10 e-mails to customercare@genisis.com. I get a no-reply message saying they will contact me , but they never call. I have left messages for Natalie at Western region customer care several times.no call back.. [contact info removed]. The 844-462-5557 number wont even answer the phone. Beware if you have problems you get no help.... other than that we love the car. [non-permissible content removed]",4,"Maintenance Cost, Warranty Support, Customer Service ",,
 05/16/17,Chris Lopez ,2017 Genesis G80 Sedan 3.8 4dr Sedan AWD (3.8L 6cyl 8A),Almost there!," A Lexus ES350 similarly equipped will cost less and have a much better shopping experience and resale value. Genesis needs stand alone dealerships to compete in the luxury space. However, it does look the best at its price but it takes a backseat in the refinement category. I highly encourage folks to test drive several in this category. You'll look at the Genesis on paper and think it should easily top the others. Driving them will show you why cars like this shouldn't be chosen based on specs alone. The quality of the material, how things actually work, road feel, resale, dealer experience and gas mileage are some items that prevented me from pulling the trigger.",4,"Dealer Concerns, Material Quality, Resale Value, Driving Experience",,
