Date,Author_Name,Vehicle_Title,Review_Title,Rating,Code
 09/17/17,tim mcc ,2017 Genesis G90 Sedan Premium 4dr Sedan AWD (3.3L 6cyl Turbo 8A),dealership/repairs,1,27
 09/17/17,tim mcc ,2017 Genesis G90 Sedan Premium 4dr Sedan AWD (3.3L 6cyl Turbo 8A),dealership/repairs,1,10
 08/21/17,Richard N ,2017 Genesis G90 Sedan Ultimate 4dr Sedan (5.0L 8cyl 8A),My car is getting lots of respect from Mercedes ow,4,25
 08/03/17,Rick ,2017 Genesis G90 Sedan Premium 4dr Sedan AWD (3.3L 6cyl Turbo 8A),Traded my Lexus LS for a Genesis G90!,1,12
 08/03/17,Rick ,2017 Genesis G90 Sedan Premium 4dr Sedan AWD (3.3L 6cyl Turbo 8A),Traded my Lexus LS for a Genesis G90!,1,5
 08/03/17,Rick ,2017 Genesis G90 Sedan Premium 4dr Sedan AWD (3.3L 6cyl Turbo 8A),Traded my Lexus LS for a Genesis G90!,1,39
 08/03/17,Rick ,2017 Genesis G90 Sedan Premium 4dr Sedan AWD (3.3L 6cyl Turbo 8A),Traded my Lexus LS for a Genesis G90!,1,19
 08/04/18,tim m ,2018 Genesis G90 Sedan Ultimate 4dr Sedan AWD (5.0L 8cyl 8A),avoid like the plague,1,10
 08/04/18,tim m ,2018 Genesis G90 Sedan Ultimate 4dr Sedan AWD (5.0L 8cyl 8A),avoid like the plague,1,27
 07/02/18,Joe Margucci ,2018 Genesis G90 Sedan Premium 4dr Sedan (3.3L 6cyl Turbo 8A),"""Acceleration failure"" - Genesis phraseology",3,32
 07/02/18,Joe Margucci ,2018 Genesis G90 Sedan Premium 4dr Sedan (3.3L 6cyl Turbo 8A),"""Acceleration failure"" - Genesis phraseology",3,11
 07/02/18,Joe Margucci ,2018 Genesis G90 Sedan Premium 4dr Sedan (3.3L 6cyl Turbo 8A),"""Acceleration failure"" - Genesis phraseology",3,39
 06/02/18,Randy Terry ,2018 Genesis G90 Sedan Ultimate 4dr Sedan (5.0L 8cyl 8A),Nearest Thing To A Cruise Ship?,4,4
 06/02/18,Randy Terry ,2018 Genesis G90 Sedan Ultimate 4dr Sedan (5.0L 8cyl 8A),Nearest Thing To A Cruise Ship?,4,5
 06/02/18,Randy Terry ,2018 Genesis G90 Sedan Ultimate 4dr Sedan (5.0L 8cyl 8A),Nearest Thing To A Cruise Ship?,4,24
